~product~product_code~product_category~product_subcategory
123~Tomate frito estilo casero Hacendado con aceite de oliva~17153~Aceite, especias y salsas >~Otras salsas
124~Tomate frito Hacendado con aceite de oliva~17128~Aceite, especias y salsas >~Otras salsas
125~Tomate frito sin azúcares añadidos Hacendado~17330~Aceite, especias y salsas >~Otras salsas
126~Tomate frito con cebolla Hacendado con aceite de oliva~17154~Aceite, especias y salsas >~Otras salsas
127~Salsa barbacoa Hacendado~17346~Aceite, especias y salsas >~Otras salsas
128~Salsa pimienta verde Hacendado~17502~Aceite, especias y salsas >~Otras salsas
129~Salsa burger Hacendado~17347~Aceite, especias y salsas >~Otras salsas
130~Salsa barbacoa dulce y picante Hacendado~17373~Aceite, especias y salsas >~Otras salsas
131~Salsa estilo argentino Hacendado~17081~Aceite, especias y salsas >~Otras salsas
132~Salsa Piri Piri Hacendado~17396~Aceite, especias y salsas >~Otras salsas
133~Salsa boloñesa Hacendado~17169~Aceite, especias y salsas >~Otras salsas
134~Salsa de tomate, albahaca y orégano Hacendado~17283~Aceite, especias y salsas >~Otras salsas
135~Salsa fresca Trufa Hacendado~17410~Aceite, especias y salsas >~Otras salsas
136~Salsa fresca Queso Hacendado~17409~Aceite, especias y salsas >~Otras salsas
137~Salsa fresca Pesto Hacendado~17419~Aceite, especias y salsas >~Otras salsas
138~Salsa fresca Setas Bendita~35184~Aceite, especias y salsas >~Otras salsas
139~Salsa fresca Carbonara Bendita~35183~Aceite, especias y salsas >~Otras salsas
140~Salsa de soja Hacendado~17360~Aceite, especias y salsas >~Otras salsas
141~Salsa teriyaki Hacendado~17362~Aceite, especias y salsas >~Otras salsas
142~Salsa de soja dulce Hacendado~17361~Aceite, especias y salsas >~Otras salsas
143~Salsa agridulce Salsas Asturianas~22721~Aceite, especias y salsas >~Otras salsas
144~Salsa thai chili dulce J-Lek~22613~Aceite, especias y salsas >~Otras salsas
145~Salsa de soja sin gluten Hacendado~17382~Aceite, especias y salsas >~Otras salsas
146~Guacamole Hacendado 95% aguacate fresco~3840~Aceite, especias y salsas >~Otras salsas
147~Guacamole Hacendado 95% aguacate fresco~3852~Aceite, especias y salsas >~Otras salsas
148~Tomate frito Hacendado~17132~Aceite, especias y salsas >~Otras salsas
149~Salsa mexicana Hacendado~17327~Aceite, especias y salsas >~Otras salsas
150~Salsa ranchera Hacendado~17386~Aceite, especias y salsas >~Otras salsas
151~Salsa césar Hacendado~17366~Aceite, especias y salsas >~Otras salsas
152~Aliño de aceite, ajo y perejil Hacendado~17265~Aceite, especias y salsas >~Otras salsas
153~Salsa miel y mostaza Hacendado~17263~Aceite, especias y salsas >~Otras salsas
154~Salsa de trufas~17259~Aceite, especias y salsas >~Otras salsas
155~Salsa gajos rústica Hacendado~17348~Aceite, especias y salsas >~Otras salsas
156~Salsa de queso Hacendado~35344~Aceite, especias y salsas >~Otras salsas
157~Chili con carne Hacendado~23137~Aceite, especias y salsas >~Otras salsas
158~Salsa bechamel Knorr~86713~Aceite, especias y salsas >~Otras salsas
159~Extracto original de buey Bovril~7307~Aceite, especias y salsas >~Otras salsas
160~Salsa cocktail Hacendado~23072~Aceite, especias y salsas >~Otras salsas
161~Salsa aperitivo Dani~23409~Aceite, especias y salsas >~Otras salsas
162~Salsa romesco Ferrer~17290~Aceite, especias y salsas >~Otras salsas
163~Salsa picante Mc. Ilhenny Tabasco~17337~Aceite, especias y salsas >~Otras salsas
164~Salsa calçots Ferrer~17291~Aceite, especias y salsas >~Otras salsas
165~Pasta de sésamo Tahini Hacendado~17441~Aceite, especias y salsas >~Otras salsas
166~Salsa brava Hacendado~35163~Aceite, especias y salsas >~Otras salsas
167~Tomate frito Hacendado~17132~Aceite, especias y salsas >~Otras salsas
168~Tomate frito Hacendado~17151~Aceite, especias y salsas >~Otras salsas
169~Tomate frito Hacendado~17108~Aceite, especias y salsas >~Otras salsas
170~Tomate frito receta artesana Hacendado con aceite de oliva~17163~Aceite, especias y salsas >~Otras salsas
171~Tomate frito receta artesana Hacendado con aceite de oliva~17131~Aceite, especias y salsas >~Otras salsas
172~Tomate frito estilo casero Hacendado con aceite de oliva~17153~Aceite, especias y salsas >~Otras salsas
173~Tomate frito Hacendado con aceite de oliva~17128~Aceite, especias y salsas >~Otras salsas
174~Tomate frito con cebolla Hacendado con aceite de oliva~17154~Aceite, especias y salsas >~Otras salsas
175~Tomate frito sin azúcares añadidos Hacendado~17330~Aceite, especias y salsas >~Otras salsas
176~Guacamole Hacendado 95% aguacate fresco~3840~Aceite, especias y salsas >~Otras salsas
177~Guacamole Hacendado 95% aguacate fresco~3852~Aceite, especias y salsas >~Otras salsas
178~Salsa bechamel Knorr~86713~Aceite, especias y salsas >~Otras salsas
179~Agua mineral grande Font Agudes mineralización débil~28039~Agua y refrescos >~Agua
180~Agua mineral grande Font Agudes mineralización débil~27335~Agua y refrescos >~Agua
181~Agua mineral grande Font Agudes mineralización débil~26992~Agua y refrescos >~Agua
182~Agua mineral grande Font Agudes mineralización débil~26993~Agua y refrescos >~Agua
183~Agua mineral mediana Font Agudes mineralización débil~28572~Agua y refrescos >~Agua
184~Agua mineral mediana Font Agudes mineralización débil~28573~Agua y refrescos >~Agua
185~Agua mineral pequeña Font Agudes mineralización débil~27062~Agua y refrescos >~Agua
186~Agua mineral pequeña Font Agudes mineralización débil~27514~Agua y refrescos >~Agua
187~Agua mineral pequeña Font Agudes tapón infantil mineralización débil~27576~Agua y refrescos >~Agua
188~Agua mineral pequeña Font Agudes tapón infantil mineralización débil~27575~Agua y refrescos >~Agua
189~Agua mineral grande Bronchales mineralización muy débil~28035~Agua y refrescos >~Agua
190~Agua mineral grande Bronchales mineralización muy débil~23448~Agua y refrescos >~Agua
191~Agua mineral grande Bronchales mineralización muy débil~23449~Agua y refrescos >~Agua
192~Agua mineral mediana Bronchales mineralización muy débil~28491~Agua y refrescos >~Agua
193~Agua mineral mediana Bronchales mineralización muy débil~28499~Agua y refrescos >~Agua
194~Agua mineral pequeña Bronchales mineralización muy débil~27061~Agua y refrescos >~Agua
195~Agua mineral pequeña Bronchales mineralización muy débil~27054~Agua y refrescos >~Agua
196~Agua mineral pequeña Bronchales tapón infantil mineralización muy débil~28566~Agua y refrescos >~Agua
197~Agua mineral pequeña Bronchales tapón infantil mineralización muy débil~28567~Agua y refrescos >~Agua
198~Agua mineral grande Bezoya mineralización muy débil~27314~Agua y refrescos >~Agua
199~Agua mineral grande Bezoya mineralización muy débil~27230~Agua y refrescos >~Agua
200~Agua mineral grande Ribes mineralización débil~27292~Agua y refrescos >~Agua
201~Agua mineral grande Ribes mineralización débil~27155~Agua y refrescos >~Agua
202~Agua mineral grande Ribes mineralización débil~27038~Agua y refrescos >~Agua
203~Agua mineral grande Nestlé Aquarel mineralización muy débil~27099~Agua y refrescos >~Agua
204~Agua mineral grande Nestlé Aquarel mineralización muy débil~27232~Agua y refrescos >~Agua
205~Agua mineral grande Font Vella~27350~Agua y refrescos >~Agua
206~Agua mineral grande Font Vella~27204~Agua y refrescos >~Agua
207~Agua mineral grande Solán de Cabras mineralización muy débil~27327~Agua y refrescos >~Agua
208~Agua mineral grande Solán de Cabras mineralización muy débil~27356~Agua y refrescos >~Agua
209~Agua mineral grande Viladrau~27253~Agua y refrescos >~Agua
210~Agua mineral grande Viladrau~27221~Agua y refrescos >~Agua
211~Agua de coco Chaokoh 100% natural~28198~Agua y refrescos >~Agua
212~Agua mineral con gas grande Vichy Catalan~27213~Agua y refrescos >~Agua
213~Agua mineral con gas pequeña Vichy Catalan~28185~Agua y refrescos >~Agua
214~Agua mineral con gas grande Cortes~27366~Agua y refrescos >~Agua
215~Agua mineral con gas grande Cortes~27367~Agua y refrescos >~Agua
216~Agua mineral con gas pequeña Cortes~27368~Agua y refrescos >~Agua
217~Agua mineral con gas pequeña Cortes~27369~Agua y refrescos >~Agua
218~Agua mineral con gas grande San Narciso~27084~Agua y refrescos >~Agua
219~Agua mineral con gas grande San Pellegrino~27894~Agua y refrescos >~Agua
220~Agua mineral con gas grande San Pellegrino~27893~Agua y refrescos >~Agua
221~Agua de soda con sifón La Casa~27203~Agua y refrescos >~Agua
222~Agua mineral con gas grande Fonter~27598~Agua y refrescos >~Agua
223~Agua mineral con gas grande Fonter~27597~Agua y refrescos >~Agua
224~Gaseosa Hacendado grande~27973~Agua y refrescos >~Agua
225~Gaseosa Hacendado pequeña~27972~Agua y refrescos >~Agua
226~Gaseosa Hacendado pequeña~27971~Agua y refrescos >~Agua
227~Gaseosa La Casera grande~27733~Agua y refrescos >~Agua
228~Gaseosa La Casera grande~27735~Agua y refrescos >~Agua
229~Agua de coco Chaokoh 100% natural~28198~Agua y refrescos >~Agua
230~Bebida isotónica limón Aquarius~29608~Agua y refrescos >~Isotónico y energético
231~Bebida isotónica limón Aquarius~29605~Agua y refrescos >~Isotónico y energético
232~Bebida isotónica limón Aquarius~29625~Agua y refrescos >~Isotónico y energético
